街道地址,位置,命令狀態,命令編號,地址,日期,命令類別,屋宇署檔案編號
"LAI CHUN BUILDING, 16 HEUNG SZE WUI SQUARE (Tower Block) 大埔 鄉事會坊16號 麗珍樓 (大廈)",個別單位,未獲遵從,DR00058/NT/21/AEF/VH(5OJ118),大埔娜事會坊16號麗珍樓三樓B室,2022年6月21日,第28條渠務修葺令／勘測令,EB/9336/70/E03(SDI-AEF)
"LAI CHUN BUILDING, 16 HEUNG SZE WUI SQUARE (Tower Block) 大埔 鄉事會坊16號 麗珍樓 (大廈)",個別單位,未獲遵從,DR00060/NT/21/AEF/VH(5OJ118),大埔娜事會坊16號麗珍樓四樓C室,2022年6月21日,第28條渠務修葺令／勘測令,EB/9336/70/E03(SDI-AEF)
"LAI CHUN BUILDING, 16 HEUNG SZE WUI SQUARE (Tower Block) 大埔 鄉事會坊16號 麗珍樓 (大廈)",個別單位,未獲遵從,DR00059/NT/21/AEF/VH(5OJ118),大埔娜事會坊16號麗珍樓六樓C及天台,2022年6月21日,第28條渠務修葺令／勘測令,EB/9336/70/E03(SDI-AEF)
"KAM MING BUILDING, 18 - 20 HEUNG SZE WUI SQUARE (Tower Block) 大埔 鄉事會坊18 - 20號 (大廈)",個別單位,未獲遵從,UDR00227/NT/21/AEF/VH(5OJ118),"""大埔 鄉事會坊20號 金明樓 四樓 A室""",2022年10月25日,第24條命令（只涉及渠務）,EB/9009/71/E03(SDI-AEF)
"KAM MING BUILDING, 18 - 20 HEUNG SZE WUI SQUARE (Tower Block) 大埔 鄉事會坊18 - 20號 (大廈)",個別單位,未獲遵從,UDR00228/NT/21/AEF/VH(5OJ118),大埔 鄉事會坊20號 金明樓 五樓 A室,2022年10月25日,第24條命令（只涉及渠務）,EB/9009/71/E03(SDI-AEF)
"MEI FAT BUILDING, 25 HEUNG SZE WUI SQUARE (Tower Block) 大埔 鄉事會坊25號 美發大廈 (大廈)",個別單位,已獲遵從,UDR00751/NT/21/AEF/VH(5OJ118),大埔 大榮里40號美發大廈四樓 F室,2022年12月9日,第24條命令（只涉及渠務）,EB/9251/70/E03(SDI-AEF)
"MEI FAT BUILDING, 25 HEUNG SZE WUI SQUARE (Tower Block) 大埔 鄉事會坊25號 美發大廈 (大廈)",個別單位,已獲遵從,UDR00752/NT/21/AEF/VH(5OJ118),大埔 大榮里40號美發大廈五樓 F室,2022年12月9日,第24條命令（只涉及渠務）,EB/9251/70/E03(SDI-AEF)
"MEI FAT BUILDING, 25 HEUNG SZE WUI SQUARE (Tower Block) 大埔 鄉事會坊25號 美發大廈 (大廈)",個別單位,已獲遵從,UDR00753/NT/21/AEF/VH(5OJ118),大埔 大榮里40號美發大廈七樓 F室,2022年12月9日,第24條命令（只涉及渠務）,EB/9251/70/E03(SDI-AEF)
"MEI FAT BUILDING, 25 HEUNG SZE WUI SQUARE (Tower Block) 大埔 鄉事會坊25號 美發大廈 (大廈)",個別單位,已獲遵從,UDR00754/NT/21/AEF/VH(5OJ118),大埔 大榮里40號 美發大廈 十二樓 D室,2022年12月9日,第24條命令（只涉及渠務）,EB/9251/70/E03(SDI-AEF)
"MEI FAT BUILDING, 25 HEUNG SZE WUI SQUARE (Tower Block) 大埔 鄉事會坊25號 美發大廈 (大廈)",個別單位,已獲遵從,UDR00755/NT/21/AEF/VH(5OJ118),大埔 大榮里40號 美發大廈 十二樓 F室,2022年12月9日,第24條命令（只涉及渠務）,EB/9251/70/E03(SDI-AEF)
"MEI FAT BUILDING, 25 HEUNG SZE WUI SQUARE (Tower Block) 大埔 鄉事會坊25號 美發大廈 (大廈)",個別單位,已獲遵從,UDR00756/NT/21/AEF/VH(5OJ118),大埔 大榮里40號美發大廈十四樓 D室,2022年12月9日,第24條命令（只涉及渠務）,EB/9251/70/E03(SDI-AEF)
"MEI FAT BUILDING, 25 HEUNG SZE WUI SQUARE (Tower Block) 大埔 鄉事會坊25號 美發大廈 (大廈)",個別單位,已獲遵從,UDR00757/NT/21/AEF/VH(5OJ118),大埔 大榮里40號美發大廈十四樓 E室,2022年12月9日,第24條命令（只涉及渠務）,EB/9251/70/E03(SDI-AEF)
"YUK WAH COURT, 35 - 37 HEUNG SZE WUI SQUARE (Tower Block) 大埔 鄉事會坊35 - 37號 玉華閣 (大廈)",個別單位,未獲遵從,DR00034/NT/21/AEF/VH(5OJ118),"Flat A on 2/F Yuk Wah Court Nos. 17 & 19 Tai Kwong Lane Nos. 35 & 37 Heung Sze Wui Square Tai Po, New Territories",2022年5月18日,第28條渠務修葺令／勘測令,EB/9183/70/E03(SDI-AEF)
"YUK WAH COURT, 35 - 37 HEUNG SZE WUI SQUARE (Tower Block) 大埔 鄉事會坊35 - 37號 玉華閣 (大廈)",個別單位,未獲遵從,DR00035/NT/21/AEF/VH(5OJ118),"Flat A on 3/F Yuk Wah Court Nos. 17 & 19 Tai Kwong Lane Nos. 35 & 37 Heung Sze Wui Square Tai Po, New Territories",2022年5月18日,第28條渠務修葺令／勘測令,EB/9183/70/E03(SDI-AEF)
"PING ON BUILDING, 43 - 47 HEUNG SZE WUI SQUARE (Tower Block) 大埔 鄉事會坊43 - 47號 平安樓 (大廈)",個別單位,已獲遵從,UDR00088/NT/21/AEF/VH(5OJ118),大埔鄉事會坊47號平安樓五樓C室,2022年9月2日,第24條命令（只涉及渠務）,EB/9045/70/1/E03(SDI-AEF)
